program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest  shamir            3          0.35          29                 1                  4           0.0236969            0.11                 15            64         ~38           0.648352        1.13651
31       FIELD     semihonest  shamir            3          0.17          18                 1                  6           0.0250407            0.11                 15            61         ~54           0.652512        1.14474
31       FIELD     semihonest  shamir            3          0.17          18                 1                  8           0.044392             1.94                 15            4          ~70           0.656672        1.15296
31       FIELD     semihonest  shamir            3          0.17          18                 1                  10          0.0278454            0.12                 15            64         ~86           0.660832        1.16118
31       FIELD     semihonest  shamir            3          0.18          18                 1                  12          0.0288437            0.11                 17            66         ~102          0.664992        1.16941
31       FIELD     semihonest  shamir            3          0.18          18                 1                  14          0.0342946            0.13                 15            60         ~118          0.669152        1.17763
31       FIELD     malhonest   malicious-shamir  3          0.35          29                 1                  4           0.163533             0.25                 21            78         ~50           3.53675         8.21002
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  6           0.138439             0.22                 19            77         ~64           3.54494         8.23446
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  8           0.117976             0.20                 21            80         ~78           3.55314         8.25891
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  10          0.113433             0.19                 23            80         ~92           3.56133         8.28336
31       FIELD     malhonest   malicious-shamir  3          0.18          18                 1                  12          0.13069              0.21                 22            81         ~106          3.56952         8.30781
31       FIELD     malhonest   malicious-shamir  3          0.18          18                 1                  14          0.124395             0.21                 22            83         ~120          3.57771         8.33226
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  4           0.0111178            0.09                 14            52         ~35           0.082488        0.247408
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  6           0.0151707            0.11                 15            50         ~49           0.083528        0.250496
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  8           0.0125076            0.09                 15            52         ~63           0.084568        0.253584
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  10          0.0154301            0.09                 14            51         ~77           0.085608        0.256672
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  12          0.0198691            0.12                 17            50         ~91           0.086648        0.25976
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  14          0.0188517            0.10                 15            50         ~105          0.087688        0.262848
